X Minutes,Y Counts,Oligo Length,Type
13.701,123.2032,7,Standard
13.717,143.5736,7,Standard
13.74,162.2858,7,Standard
13.763,170.3755,7,Standard
13.78,166.3938,7,Standard
13.797,155.1752,7,Standard
13.813,144.369,7,Standard
13.83,140.0293,7,Standard
13.846,144.4429,7,Standard
13.863,154.8965,7,Standard
13.88,163.9402,7,Standard
13.896,161.8173,7,Standard
13.913,144.4936,7,Standard
13.929,121.0707,7,Standard
13.946,111.781,7,Standard
13.963,138.7371,7,Standard
13.979,216.8867,7,Standard
13.996,352.9236,7,Standard
14.012,554.4727,7,Standard
14.029,837.8856,7,Standard
14.046,1233.525,7,Standard
14.062,1774.605,7,Standard
14.085,2498.683,7,Standard
14.108,3494.345,7,Standard
14.131,5088.86,7,Standard
14.154,8199.391,7,Standard
14.178,14878.71,7,Standard
14.201,28884.85,7,Standard
14.217,55681.7,7,Standard
14.234,100860.2,7,Standard
14.25,166425.4,7,Standard
14.279,246492.6,7,Standard
14.307,326003.2,7,Standard
14.335,385201.1,7,Standard
14.363,408349.2,7,Standard
14.391,391092.4,7,Standard
14.419,341618.5,7,Standard
14.447,275519.2,7,Standard
14.475,208468.9,7,Standard
14.503,151057.5,7,Standard
14.531,107482.7,7,Standard
14.554,77096.14,7,Standard
14.577,56910.83,7,Standard
14.605,43662.29,7,Standard
14.634,34858.37,7,Standard
14.651,28937.48,7,Standard
14.668,24939.46,7,Standard
14.684,22162.17,7,Standard
14.701,20036.45,7,Standard
14.717,18140.55,7,Standard
14.734,16252.24,7,Standard
14.751,14326.03,7,Standard
14.767,12429.84,7,Standard
14.784,10668.76,7,Standard
14.8,9133.637,7,Standard
14.817,7879.94,7,Standard
14.84,6920.855,7,Standard
14.863,6221.679,7,Standard
14.88,5695.303,7,Standard
14.896,5249.581,7,Standard
14.913,4837.283,7,Standard
14.93,4461.132,7,Standard
14.946,4138.223,7,Standard
14.963,3869.655,7,Standard
14.986,3635.141,7,Standard
15.009,3415.59,7,Standard
15.032,3210.823,7,Standard
15.049,3032.715,7,Standard
15.065,2894.513,7,Standard
15.082,2802.29,7,Standard
15.098,2753.751,7,Standard
15.115,2732.733,7,Standard
15.132,2711.137,7,Standard
15.148,2662.524,7,Standard
15.171,2570.194,7,Standard
15.194,2435.688,7,Standard
15.217,2271.127,7,Standard
15.245,2083.546,7,Standard
15.274,1876.672,7,Standard
15.302,1670.652,7,Standard
15.33,1503.777,7,Standard
15.358,1406.943,7,Standard
15.386,1373.456,7,Standard
15.414,1361.032,7,Standard
15.442,1323.588,7,Standard
15.47,1237.175,7,Standard
15.498,1101.324,7,Standard
15.526,931.863,7,Standard
15.554,760.1268,7,Standard
15.583,621.9781,7,Standard
15.611,537.3478,7,Standard
15.639,517.4448,7,Standard
15.667,596.2375,7,Standard
15.695,856.8364,7,Standard
15.723,1405.935,7,Standard
15.751,2309.112,7,Standard
15.774,3536.91,7,Standard
15.802,4951.616,7,Standard
15.825,6346.252,7,Standard
15.848,7511.16,7,Standard
15.876,8289.474,7,Standard
15.9,8597.11,7,Standard
15.916,8417.908,7,Standard
15.933,7805.738,7,Standard
15.949,6885.652,7,Standard
15.966,5826.489,7,Standard
15.983,4778.589,7,Standard
15.999,3828.165,7,Standard
16.016,2999.076,7,Standard
16.032,2295.833,7,Standard
16.049,1733.252,7,Standard
16.066,1327.474,7,Standard
16.082,1067.678,7,Standard
16.099,906.644,7,Standard
16.122,786.3589,7,Standard
16.145,672.7368,7,Standard
16.168,562.2797,7,Standard
16.185,467.5546,7,Standard
16.201,397.0371,7,Standard
16.218,347.6952,7,Standard
16.234,306.9272,7,Standard
16.251,263.8459,7,Standard
16.268,219.1859,7,Standard
16.284,185.4942,7,Standard
16.301,181.3763,7,Standard
16.317,216.4327,7,Standard
16.334,283.1479,7,Standard
16.35,360.5575,7,Standard
16.367,426.5143,7,Standard
16.384,466.2885,7,Standard
16.4,471.4304,7,Standard
16.417,439.0365,7,Standard
16.433,373.8286,7,Standard
16.45,290.688,7,Standard
16.467,209.2224,7,Standard
16.49,144.28,7,Standard
16.513,100.0649,7,Standard
16.541,71.44724,7,Standard
16.564,52.37635,7,Standard
16.592,41.58617,7,Standard
16.61,42.90063,7,Standard
16.626,58.56325,7,Standard
16.643,84.22373,7,Standard
16.659,108.8867,7,Standard
16.676,121.1442,7,Standard
16.693,116.0125,7,Standard
16.709,97.55286,7,Standard
16.726,75.22154,7,Standard
16.742,58.73452,7,Standard
16.759,52.55145,7,Standard
16.776,53.48767,7,Standard
16.792,53.83532,7,Standard
16.809,49.42819,7,Standard
16.825,44.17607,7,Standard
16.842,47.2994,7,Standard
16.859,65.55832,7,Standard
16.875,96.17429,7,Standard
16.892,127.3092,7,Standard
16.908,146.0007,7,Standard
16.925,147.7714,7,Standard
16.942,139.1677,7,Standard
16.958,128.931,7,Standard
16.975,118.6008,7,Standard
16.991,103.0937,7,Standard
17.008,79.84438,7,Standard
17.025,54.6138,7,Standard
17.041,38.25723,7,Standard
17.058,39.33194,7,Standard
17.074,61.47318,7,Standard
17.091,101.81,7,Standard
17.107,150.6889,7,Standard
17.124,192.3986,7,Standard
17.141,211.2545,7,Standard
17.157,200.217,7,Standard
17.174,167.8008,7,Standard
17.19,132.8667,7,Standard
17.207,111.8038,7,Standard
17.224,108.8336,7,Standard
17.24,118.8444,7,Standard
17.257,135.2242,7,Standard
17.273,153.1518,7,Standard
17.29,166.7636,7,Standard
17.307,168.6289,7,Standard
17.323,154.0068,7,Standard
17.34,127.1845,7,Standard
17.356,98.78366,7,Standard
17.373,76.89108,7,Standard
17.39,61.19772,7,Standard
17.406,48.38747,7,Standard
17.423,38.25894,7,Standard
17.439,34.6419,7,Standard
17.456,39.19595,7,Standard
17.473,48.49379,7,Standard
17.489,56.16223,7,Standard
17.506,59.00243,7,Standard
17.522,58.31604,7,Standard
17.539,56.02158,7,Standard
17.556,50.94522,7,Standard
17.572,41.49447,7,Standard
17.589,29.15002,7,Standard
17.605,18.70106,7,Standard
17.622,14.80978,7,Standard
17.639,19.4496,7,Standard
17.655,31.20938,7,Standard
17.672,45.90436,7,Standard
17.688,58.23008,7,Standard
17.705,64.86758,7,Standard
17.722,64.92812,7,Standard
17.738,60.26717,7,Standard
