Point,X(Minutes),Y(Counts),Analyte
269,4.5,0.242047802,7mer
270,4.52,0.152681261,7mer
271,4.54,0.120581277,7mer
272,4.55,0.208081394,7mer
273,4.57,0.490556538,7mer
274,4.59,1.022821665,7mer
275,4.6,1.737024188,7mer
276,4.62,2.379172802,7mer
277,4.64,2.626867771,7mer
278,4.65,2.351161957,7mer
279,4.67,1.738400221,7mer
280,4.69,1.137914181,7mer
281,4.7,0.780830383,7mer
282,4.72,0.73638165,7mer
283,4.74,1.011140227,7mer
284,4.75,1.630745292,7mer
285,4.77,2.528115749,7mer
286,4.79,3.417158842,7mer
287,4.8,3.876274824,7mer
288,4.82,3.702190399,7mer
289,4.84,3.086876392,7mer
290,4.85,2.43649745,7mer
291,4.87,2.039775133,7mer
292,4.89,1.948751688,7mer
293,4.9,2.049812078,7mer
294,4.92,2.146758556,7mer
295,4.94,2.040331602,7mer
296,4.95,1.666711569,7mer
297,4.97,1.129079461,7mer
298,4.99,1.444776416,7mer
299,5,6.324028015,7mer
300,5.02,24.79671669,7mer
301,5.04,78.9789505,7mer
302,5.07,206.6348572,7mer
303,5.08,447.6044006,7mer
304,5.1,809.0515137,7mer
305,5.12,1235.776489,7mer
306,5.13,1623.635376,7mer
307,5.15,1881.740967,7mer
308,5.17,1991.80188,7mer
309,5.18,2004.979126,7mer
310,5.2,1991.659668,7mer
311,5.22,1997.039795,7mer
312,5.23,2031.415161,7mer
313,5.25,2086.885254,7mer
314,5.27,2153.085938,7mer
315,5.29,2222.06958,7mer
316,5.31,2282.753662,7mer
317,5.32,2325.296875,7mer
318,5.34,2351.016113,7mer
319,5.36,2362.310059,7mer
320,5.38,2346.427734,7mer
321,5.4,2284.239258,7mer
322,5.41,2169.984131,7mer
323,5.43,2018.178223,7mer
324,5.45,1860.233398,7mer
325,5.46,1733.741333,7mer
326,5.48,1669.244629,7mer
327,5.5,1672.025269,7mer
328,5.51,1718.241577,7mer
329,5.53,1777.488037,7mer
330,5.55,1838.5802,7mer
331,5.56,1910.19519,7mer
332,5.58,1988.790771,7mer
333,5.6,2035.98645,7mer
334,5.61,2002.142578,7mer
335,5.63,1873.760986,7mer
336,5.65,1693.127441,7mer
337,5.66,1537.515869,7mer
338,5.68,1465.672241,7mer
339,5.7,1479.745728,7mer
340,5.71,1534.498657,7mer
341,5.73,1579.500854,7mer
342,5.75,1597.623047,7mer
343,5.76,1601.785645,7mer
344,5.78,1606.167969,7mer
345,5.8,1608.796753,7mer
346,5.81,1597.271606,7mer
347,5.83,1562.886353,7mer
348,5.84,1505.081909,7mer
349,5.86,1432.48999,7mer
350,5.88,1362.643188,7mer
351,5.89,1317.066772,7mer
352,5.91,1310.615723,7mer
353,5.93,1343.135742,7mer
354,5.94,1399.445557,7mer
355,5.96,1456.824341,7mer
356,5.98,1497.029053,7mer
357,6,1519.591797,7mer
358,6.02,1540.41626,7mer
359,6.03,1574.702026,7mer
360,6.05,1613.717651,7mer
361,6.07,1634.067261,7mer
362,6.08,1621.941162,7mer
363,6.1,1589.764648,7mer
364,6.12,1564.327148,7mer
365,6.13,1568.325806,7mer
366,6.15,1608.36853,7mer
367,6.17,1664.604248,7mer
368,6.18,1700.330444,7mer
369,6.2,1685.450317,7mer
370,6.22,1622.907227,7mer
371,6.23,1540.86731,7mer
372,6.25,1465.345703,7mer
373,6.27,1408.012695,7mer
374,6.28,1372.053833,7mer
375,6.3,1362.807373,7mer
376,6.32,1386.408691,7mer
377,6.33,1446.531738,7mer
378,6.35,1532.966553,7mer
379,6.37,1616.25769,7mer
380,6.38,1652.654663,7mer
381,6.4,1609.728516,7mer
382,6.42,1502.971924,7mer
383,6.43,1395.526367,7mer
384,6.45,1356.849121,7mer
385,6.47,1409.651245,7mer
386,6.48,1522.364014,7mer
387,6.5,1643.554321,7mer
388,6.52,1736.951538,7mer
389,6.53,1782.32959,7mer
390,6.55,1767.17395,7mer
391,6.57,1689.562866,7mer
392,6.58,1571.48584,7mer
393,6.6,1459.236938,7mer
